Modify MS SQL Server 2012 database.
Date/time: 2014-12-10 20:12
Drop foreign key constraints
Constraint "Product.FK_Product_Type" dropped.
Constraint "Production.FK_Production_Unit_TimberUnit" dropped.
Constraint "Production.FK_Production_County" dropped.
Constraint "Production.FK_Production_Type" dropped.
Constraint "Production.FK_Production_SellingMethod" dropped.
Constraint "Production.FK_Production_Product" dropped.
Constraint "TimberPrice.FK_TimberPrice_Product2" dropped.
Constraint "TimberPrice.FK_TimberPrice_Region" dropped.
Constraint "TimberPrice.FK_TimberPrice_Species" dropped.
Constraint "TimberPrice.FK_TimberPrice_Product" dropped.
Constraint "TimberPrice.FK_TimberPrice_Statistics" dropped.
Constraint "TimberPrice.FK_TimberPrice_SellingMethod" dropped.
Constraint "TimberPrice.FK_TimberPrice_Unit" dropped.
Constraint "Costs.FK_Costs_Product" dropped.
Constraint "LandPrice.FK_LandPrice_LandUse" dropped.
Constraint "UnitSynonym.FK_UnitSynonym_Unit" dropped.
Alter table "dbo.LandUse"
Constraint "LandUse.Unique_LandUse" dropped.
Constraint "LandUse.UC_LandUse_1" added.
Alter table "dbo.Product"
Constraint "Product.unique_Product" dropped.
Constraint "Product.UC_Product_1" added.
Alter table "dbo.Production"
Constraint "Production.Unique_Production" dropped.
Constraint "Production.UC_Production_1" added.
Alter table "dbo.TimberPrice"
Column "TimberPrice.Product2" dropped.
Alter table "dbo.TimberUnit"
Constraint "TimberUnit.IX_TimberUnit" dropped.
Constraint "TimberUnit.UC_TimberUnit_1" added.
Add foreign key constraints
Constraint "MicroRegion.FK_LandPrice_MicroRegion" added.
Constraint "Product.FK_Product_Type" added.
Constraint "Production.FK_Production_Unit_TimberUnit" added.
Constraint "Production.FK_Production_County" added.
Constraint "Production.FK_Production_Type" added.
Constraint "Production.FK_Production_SellingMethod" added.
Constraint "Production.FK_Production_Product" added.
Constraint "TimberPrice.FK_TimberPrice_Region" added.
Constraint "TimberPrice.FK_TimberPrice_Species" added.
Constraint "TimberPrice.FK_TimberPrice_Product" added.
Constraint "TimberPrice.FK_TimberPrice_Statistics" added.
Constraint "TimberPrice.FK_TimberPrice_SellingMethod" added.
Constraint "TimberPrice.FK_TimberPrice_Unit" added.
Constraint "Costs.FK_Costs_Product" added.
Constraint "LandPrice.FK_LandPrice_LandUse" added.
Constraint "UnitSynonym.FK_UnitSynonym_Unit" added.
